[param : -s 0 -t 1 -c 1 -g 1.25e-06 -r 1000 -d 3, ACC = 94.39999999999999, MSE = 0.184, SCC = 0.9105657290125204]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r -1000 -d 3, ACC = 94.96, MSE = 0.1596, SCC = 0.9221379770932729]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r -100 -d 3, ACC = 95.6, MSE = 0.1284, SCC = 0.9369894780271846]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r -10 -d 3, ACC = 95.52000000000001, MSE = 0.144, SCC = 0.9295413505647624]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r -1 -d 3, ACC = 82.28, MSE = 0.6996, SCC = 0.6852015725639083]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r -0.1 -d 3, ACC = 79.64, MSE = 0.8216, SCC = 0.6332174414181928]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r 0 -d 3, ACC = 28.88, MSE = 2.6804, SCC = 0.07799894864603243]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r 0.1 -d 3, ACC = 79.0, MSE = 0.8468, SCC = 0.6223783525996579]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r 1 -d 3, ACC = 82.28, MSE = 0.6996, SCC = 0.6852503100967502]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r 10 -d 3, ACC = 95.52000000000001, MSE = 0.144, SCC = 0.9295413505647624]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r 100 -d 3, ACC = 95.6, MSE = 0.1284, SCC = 0.9369894780271846]
[param : -s 0 -t 1 -c 1 -g 1.25e-05 -r 1000 -d 3, ACC = 94.96, MSE = 0.1596, SCC = 0.9221379770932729]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -1000 -d 3, ACC = 95.16, MSE = 0.1352, SCC = 0.9337547672618762]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -100 -d 3, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -10 -d 3, ACC = 96.08, MSE = 0.1264, SCC = 0.9378300347452135]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -1 -d 3, ACC = 93.67999999999999, MSE = 0.2192, SCC = 0.8943758141660406]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r -0.1 -d 3, ACC = 82.08, MSE = 0.728, SCC = 0.6716086130833525]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 0 -d 3, ACC = 28.88, MSE = 2.6804, SCC = 0.07799894864603243]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 0.1 -d 3, ACC = 75.36, MSE = 0.982, SCC = 0.568062048623797]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 1 -d 3, ACC = 93.8, MSE = 0.2148, SCC = 0.8964712242591045]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 10 -d 3, ACC = 96.08, MSE = 0.1264, SCC = 0.9378300347452135]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 100 -d 3, ACC = 94.96, MSE = 0.1428, SCC = 0.9300046635536279]
[param : -s 0 -t 1 -c 1 -g 0.000125 -r 1000 -d 3, ACC = 95.16, MSE = 0.1364, SCC = 0.9331480632377164]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -1000 -d 3, ACC = 94.96, MSE = 0.1428, SCC = 0.9300046635536279]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -100 -d 3, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -10 -d 3, ACC = 95.32000000000001, MSE = 0.1372, SCC = 0.9326691344796845]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -1 -d 3, ACC = 95.19999999999999, MSE = 0.16, SCC = 0.9219947068002381]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r -0.1 -d 3, ACC = 78.60000000000001, MSE = 0.9588, SCC = 0.5938856114422097]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 0 -d 3, ACC = 34.2, MSE = 2.626, SCC = 0.14257318748410075]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 0.1 -d 3, ACC = 86.76, MSE = 0.5252, SCC = 0.755823216855364]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 1 -d 3, ACC = 95.76, MSE = 0.1356, SCC = 0.9336123460070571]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 10 -d 3, ACC = 95.72, MSE = 0.126, SCC = 0.938006581757582]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 100 -d 3, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.00125 -r 1000 -d 3, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -1000 -d 3, ACC = 95.0, MSE = 0.1412, SCC = 0.9307635535100904]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -100 -d 3, ACC = 94.72, MSE = 0.1476, SCC = 0.9278554937041825]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -10 -d 3, ACC = 91.92, MSE = 0.266, SCC = 0.8718127991942588]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -1 -d 3, ACC = 68.47999999999999, MSE = 1.336, SCC = 0.44113952112274174]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r -0.1 -d 3, ACC = 95.92, MSE = 0.1476, SCC = 0.9278920212893522]
[param : -s 0 -t 1 -c 1 -g 0.0125 -r 0 -d 3, ACC = 97.6, MSE = 0.0788, SCC = 0.9610494366128657]
